10.53	6.48808908693461	2.29	2.05039020676553
13.79	6.3252905071625	2.86	1.37058381721075
17.24	5.31601354400081	4.23	0.651920240520265
20.28	4.61069409091516	8.23	0.380788655293195
22.98	4.14335612758546	15.76	0.657343137181792
25.44	3.78889165851968	29.08	1.18663389467856
27.71	3.50184237223779	45.06	1.82584227139148
29.84	3.29569416056769	59.56	2.41615396860382
31.85	3.12409987036266	70.69	2.86141573351374
33.76	2.96789487684453	78.06	3.15753068076939
35.58	2.83985915143692	81.65	3.29878765609428
37.32	2.73358738656733	85.11	3.43211305175106
39.00	2.63501423146062	84.75	3.42040933222911
40.62	2.55828067263934	87.53	3.53220894059227
42.19	2.4816325271885	86.69	3.49292141337305
43.72	2.42695282195596	87.08	3.51256316669181
45.20	2.35510084709764	86.58	3.49292141337305
46.65	2.32245559699211	83.46	3.35959819026026
48.06	2.26631860072674	83.75	3.3694213153003
49.44	2.20056810846654	83.67	3.3694213153003
50.80	2.15230109417804	84.51	3.40076461990535
52.12	2.11813597297246	83.98	3.38112407344067
53.42	2.06813926030139	83.40	3.35959819026026
54.70	2.0242529486208	83.54	3.35959819026026
55.96	1.97608198210499	82.54	3.32031624999788
57.20	1.93041446326948	81.91	3.29878765609428
58.42	1.88042548376691	82.10	3.30860998003693
59.62	1.83662734380168	83.11	3.34977611192151
60.80	1.7928747864812	82.20	3.30860998003693
61.97	1.75547714311523	78.69	3.16734904928396
63.12	1.70417135288679	76.54	3.08501215556762
64.26	1.66832251078741	75.58	3.04573472252591
65.39	1.61839426593151	74.49	3.00456319620673
66.50	1.57289541928254	74.58	3.00456319620673
67.61	1.53808322271586	73.47	2.95357410606201
