39256.27304	208.3315252
38734.58796	207.8012096
38504.76644	206.926216
38600.73348	207.1482212
36853.46028	203.1765536
34874.19436	196.4018668
33789.89708	194.3761372
32368.521	189.9164924
30230.92032	183.8512452
29006.36352	179.16471
27336.98212	174.4488636
26648.92884	171.8879332
25592.31436	168.4813204
22689.20284	159.3275412
19439.51352	146.8143728
999.78332	38.8177992
21317.81864	153.0326896
20722.2042	152.2049196
20663.79892	151.4189452
20781.47796	151.2951868
20049.02364	149.2786848
18970.10008	145.8433036
18158.8312	142.7444584
17186.6764	139.0230216
16161.11008	133.667214
15678.45232	132.21251
14568.42632	128.011238
14189.00912	126.4105208
13843.19124	124.9194492
12223.63888	118.0519436
10490.967	109.2037608
644.336168	30.7257368
11582.5378	113.808876
11447.1092	112.4611036
11047.17416	111.1806384
11219.9474	112.2146724
10774.09148	109.8144108
10216.853	107.4217484
9881.45688	105.0464556
9398.14776	103.0109556
8762.58324	100.0467248
8467.51716	98.3895564
7871.4142	95.0350524
7740.70796	93.5754632
7432.39756	91.1339488
6760.08548	86.5934268
5576.34724	80.318116
268.3326372	24.126103
10965.33152	109.8442048
10481.77856	110.358688
9820.688064	105.8273568
9685.227904	105.009696
8814.475296	101.56847712
8122.342272	97.59838176
7566.720832	94.15746912
6776.243936	89.26263104
6464.654944	86.762896
5917.189696	82.07048256
5379.830368	80.20098944
5084.86	77.79271808
4673.83488	75.19437376
3955.95728	69.542
3290.783584	63.29735808
195.3086432	23.11387232
3368.241888	64.27753024
3368.670624	64.86122368
3074.19024	61.064256
3015.943392	61.12264576
2660.582496	56.7227936
2624.517632	57.38651776
2381.505984	54.65138624
2290.154592	52.56650432
1983.383776	50.82910272
1906.844192	48.4757504
1622.622848	46.16302592
1485.62128	46.06941856
1456.98784	44.1592976
1284.176608	42.10412096
1119.991136	39.4748464
50.87289504	17.04307264
1109.50752	39.92838784
1070.849824	39.4212544
932.980576	37.73009504
854.5188256	35.73351232
781.0579744	35.47851648
593.0000736	31.62601728
274.8177344	21.74120256
4.624356704E-05	2207612.704
13.34512256	8.529080032
11.48879776	6.137366048
12.90760768	13.50242784
17.6562672	8.44803872
12.96079136	11.3962112
4.75095632	8.788638848
5.05362352	7.892815392
14.65695264	10.31222368
